Date,Carbon Emissions (CO?e),Carbon Offset,Energy Consumption,Water Usage,Waste Generation,Product Sales,Revenue,Investments,Employee Engagement,Customer Engagement,Supply Chain Emissions,Compliance Score,Alerts
Day 1,782.0,504.0,3025.0,5888.0,120.0,2880.0,1557000.0,254100.0,152,18,1472.0,85,High Energy Consumption
Day 2,774.0,506.0,2998.0,5872.0,120.0,2902.0,1561500.0,255150.0,150,17,1449.0,80,Low Product Sales
Day 3,769.0,509.0,2972.0,5861.0,120.0,2925.0,1558800.0,256410.0,151,17,1444.0,83,No Alert
Day 4,765.0,512.0,2954.0,5846.0,114.0,2948.0,1566000.0,256725.0,148,16,1430.0,83,Increase in Waste Generation
Day 5,761.0,514.0,2937.0,5839.0,114.0,2970.0,1568250.0,257355.0,148,16,1425.0,87,Increase in Waste Generation
Day 6,756.0,516.0,2917.0,5828.0,114.0,2992.0,1568700.0,257565.0,147,16,1420.0,89,Increase in Waste Generation
Day 7,752.0,518.0,2899.0,5816.0,108.0,3015.0,1573200.0,258300.0,147,16,1416.0,83,Low Product Sales
Day 8,748.0,520.0,2882.0,5801.0,108.0,3038.0,1572750.0,258510.0,146,16,1411.0,85,No Alert
Day 9,744.0,523.0,2866.0,5790.0,108.0,3060.0,1574280.0,258825.0,146,16,1406.0,82,Low Product Sales
Day 10,740.0,525.0,2847.0,5775.0,102.0,3082.0,1575900.0,259088.0,145,16,1401.0,84,High Energy Consumption
Day 11,735.0,527.0,2833.0,5764.0,102.0,3105.0,1578150.0,259350.0,145,16,1396.0,87,No Alert
Day 12,731.0,529.0,2816.0,5752.0,102.0,3128.0,1577700.0,259560.0,144,16,1392.0,86,Low Product Sales
Day 13,727.0,531.0,2800.0,5741.0,96.0,3150.0,1579500.0,259875.0,144,16,1387.0,88,Low Product Sales
Day 14,722.0,533.0,2783.0,5730.0,96.0,3172.0,1581750.0,260138.0,143,16,1382.0,88,High Energy Consumption
Day 15,720.0,535.0,2774.0,5722.0,96.0,3186.0,1582200.0,260400.0,143,16,1378.0,90,Low Product Sales
Day 16,717.0,536.0,2765.0,5715.0,96.0,3200.0,1584000.0,260610.0,143,16,1373.0,81,High Energy Consumption
Day 17,715.0,538.0,2757.0,5708.0,96.0,3213.0,1584900.0,260925.0,143,16,1368.0,86,Low Product Sales
Day 18,712.0,540.0,2748.0,5700.0,96.0,3226.0,1585800.0,261135.0,142,16,1363.0,87,No Alert
Day 19,710.0,542.0,2739.0,5692.0,96.0,3240.0,1586700.0,261450.0,142,16,1358.0,87,High Energy Consumption
Day 20,707.0,544.0,2730.0,5685.0,96.0,3254.0,1587600.0,261660.0,142,16,1354.0,88,No Alert
Day 21,705.0,545.0,2721.0,5678.0,96.0,3267.0,1588500.0,261975.0,142,16,1349.0,81,No Alert
Day 22,702.0,547.0,2713.0,5670.0,96.0,3280.0,1589400.0,262185.0,142,16,1344.0,85,No Alert
Day 23,700.0,549.0,2704.0,5662.0,96.0,3294.0,1590300.0,262500.0,142,16,1340.0,89,Increase in Waste Generation
Day 24,697.0,551.0,2695.0,5655.0,96.0,3308.0,1591200.0,262710.0,142,16,1335.0,88,Increase in Waste Generation
Day 25,694.0,553.0,2686.0,5648.0,96.0,3321.0,1592100.0,263025.0,142,16,1330.0,89,High Energy Consumption
Day 26,692.0,554.0,2677.0,5640.0,96.0,3334.0,1593000.0,263235.0,142,16,1325.0,84,No Alert
Day 27,689.0,556.0,2669.0,5632.0,96.0,3348.0,1593900.0,263550.0,142,16,1320.0,83,No Alert
Day 28,687.0,558.0,2660.0,5625.0,96.0,3362.0,1594800.0,263760.0,142,16,1316.0,80,Increase in Waste Generation
Day 29,684.0,560.0,2651.0,5618.0,96.0,3375.0,1595700.0,264075.0,142,16,1311.0,83,Low Product Sales
Day 30,682.0,562.0,2642.0,5610.0,96.0,3388.0,1596600.0,264285.0,142,16,1306.0,85,No Alert
Day 31,679.0,563.0,2633.0,5602.0,96.0,3402.0,1597500.0,264600.0,142,16,1302.0,80,Increase in Waste Generation
Day 32,677.0,565.0,2625.0,5595.0,96.0,3416.0,1598400.0,264810.0,142,16,1297.0,82,High Energy Consumption
Day 33,674.0,567.0,2616.0,5588.0,96.0,3429.0,1599300.0,265125.0,142,16,1292.0,83,High Energy Consumption
Day 34,672.0,569.0,2607.0,5580.0,96.0,3442.0,1600200.0,265335.0,85,16,1287.0,88,Low Product Sales
Day 35,669.0,571.0,2598.0,5572.0,96.0,3456.0,1601100.0,265650.0,86,16,1282.0,81,No Alert
Day 36,666.0,572.0,2589.0,5565.0,96.0,3470.0,1602000.0,265860.0,87,16,1278.0,83,Increase in Waste Generation
Day 37,664.0,574.0,2581.0,5558.0,96.0,3483.0,1602900.0,266175.0,88,16,1273.0,83,Increase in Waste Generation
Day 38,661.0,576.0,2572.0,5550.0,96.0,3496.0,1603800.0,266385.0,89,16,1268.0,83,Low Product Sales
